margREX,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.503067484662577
CRS,50,0,0.2
ERK,323,0,0.232198142414861
MNT,108,0,0.398148148148148
MRO,138,0,0.289855072463768
OSF,29,3731,0.275862068965517
HKL,110,0,0.327272727272727
NET,6,0,0
TWL,867,3731,0.350634371395617
1978,124,0,0.362903225806452
1979,102,0,0.303921568627451
1980,271,0,0.302583025830258
1981,237,0,0.291139240506329
1982,249,3731,0.453815261044177
Q1,162,0,0.234567901234568
Q2,289,3731,0.508650519031142
Q3,340,0,0.264705882352941
Q4,192,0,0.338541666666667
