"marginalREYE","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,0,0.230061349693252
"CRS",50,0,0.3
"ERK",323,0,0.730650154798762
"MNT",108,0,0.268518518518519
"MRO",138,0,0.384057971014493
"OSF",29,0,0.344827586206897
"HKL",110,0,0.445454545454545
"NET",6,0,0.333333333333333
"TWL",867,0,0.424452133794694
"1978",124,0,0.0564516129032258
"1979",102,0,0.431372549019608
"1980",271,0,0.494464944649447
"1981",237,0,0.434599156118143
"1982",249,0,0.526104417670683
"Q1",162,0,0.345679012345679
"Q2",289,0,0.633217993079585
"Q3",340,0,0.379411764705882
"Q4",192,0,0.265625
