margSNOS,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,72063,0.768421052631579
MRO,66,47808,0.893939393939394
OSF,63,159067,0.968253968253968
HKL,1,0,1
NET,8,0,1
TWL,225,278938,0.862222222222222
1978,57,50211,0.824561403508772
1980,61,168209,0.967213114754098
1981,42,21220,0.880952380952381
1982,50,38530,0.82
1983,18,103,0.888888888888889
1984,6,665,0.5
Q1,51,8985,0.823529411764706
Q2,79,40100,0.886075949367089
Q3,59,38129,0.932203389830508
Q4,45,191724,0.8
