margSNOS,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,72063,0.978947368421053
MRO,66,47808,0.984848484848485
OSF,63,159067,0.984126984126984
HKL,1,0,1
NET,8,0,1
TWL,225,278938,0.982222222222222
1978,57,50211,0.964912280701754
1980,61,168209,0.967213114754098
1981,42,21220,1
1982,50,38530,1
1983,18,103,1
1984,6,665,1
Q1,51,8985,1
Q2,79,40100,1
Q3,59,38129,0.966101694915254
Q4,45,191724,0.955555555555556
