margMXRF,n,landing,coverage
BDG,9,0,0.222222222222222
BRG,326,15828,0.438650306748466
CRS,50,0,0.18
ERK,323,0,0.151702786377709
MNT,108,0,0.222222222222222
MRO,138,0,0.434782608695652
OSF,29,0,0.344827586206897
HKL,110,0,0.518181818181818
NET,6,0,0.5
TWL,867,15828,0.273356401384083
1978,124,0,0.524193548387097
1979,102,0,0.480392156862745
1980,271,15828,0.173431734317343
1981,237,0,0.341772151898734
1982,249,0,0.220883534136546
Q1,162,0,0.290123456790123
Q2,289,6676,0.214532871972318
Q3,340,9152,0.429411764705882
Q4,192,0,0.21875
