margTIGR,n,landing,coverage
BDG,12,2766,0.75
BRG,401,0,0.887780548628429
CRS,60,0,1
ERK,459,0,0.928104575163399
MNT,163,0,0.969325153374233
MRO,164,0,0.841463414634146
OSF,36,0,0.972222222222222
HKL,124,0,0.790322580645161
NET,14,0,1
TWL,1157,2766,0.924805531547105
1978,124,0,0.75
1979,102,0,0.980392156862745
1980,271,0,0.981549815498155
1981,237,2766,0.886075949367089
1982,249,0,0.815261044176707
1983,312,0,0.993589743589744
Q1,228,0,0.855263157894737
Q2,390,0,0.982051282051282
Q3,437,0,0.91304347826087
Q4,240,2766,0.854166666666667
