margTIGR,n,landing,coverage
BDG,12,2766,0
BRG,401,0,0.264339152119701
CRS,60,0,0.283333333333333
ERK,459,0,0.237472766884532
MNT,163,0,0.466257668711656
MRO,164,0,0.103658536585366
OSF,36,0,0.222222222222222
HKL,124,0,0.169354838709677
NET,14,0,0.571428571428571
TWL,1157,2766,0.262748487467589
1978,124,0,0.346774193548387
1979,102,0,0.274509803921569
1980,271,0,0.247232472324723
1981,237,2766,0.118143459915612
1982,249,0,0.236947791164659
1983,312,0,0.346153846153846
Q1,228,0,0.289473684210526
Q2,390,0,0.153846153846154
Q3,437,0,0.324942791762014
Q4,240,2766,0.270833333333333
