margGSRK,n,landing,coverage
BDG,52,0,1
BRG,51,0,0.980392156862745
CRS,22,0,1
ERK,165,59,0.993939393939394
MNT,21,0,1
MRO,6,0,1
OSF,29,0,1
NET,9,0,1
TWL,337,59,0.99406528189911
1981,37,0,1
1982,92,0,0.989130434782609
1983,73,59,0.986301369863014
1984,69,0,1
1985,75,0,1
Q1,108,59,0.990740740740741
Q2,79,0,1
Q3,90,0,0.988888888888889
Q4,69,0,1
