"marginalPNKR","n","landing","coverage"
"BRG",6,0,0.666666666666667
"MNT",88,745,0.897727272727273
"MRO",64,0,0.78125
"OSF",52,0,0.826923076923077
"HKL",1,0,1
"NET",8,0,1
"TWL",201,745,0.830845771144279
"1978",57,745,0.736842105263158
"1980",61,0,0.950819672131147
"1981",42,0,0.666666666666667
"1982",50,0,0.96
"Q1",43,745,0.720930232558139
"Q2",73,0,0.89041095890411
"Q3",54,0,0.962962962962963
"Q4",40,0,0.7
