margBLGL,n,landing,coverage
BDG,9,0,1
BRG,326,135212,0.941717791411043
CRS,50,0,1
ERK,323,0,0.839009287925697
MNT,108,78868,0.935185185185185
MRO,138,160609,0.978260869565217
OSF,29,5250,0.96551724137931
HKL,110,46463,0.963636363636364
NET,6,114146,0.833333333333333
TWL,867,219330,0.91118800461361
1978,124,4619,0.895161290322581
1979,102,53466,0.823529411764706
1980,271,131418,0.974169741697417
1981,237,18681,0.860759493670886
1982,249,171755,0.955823293172691
Q1,162,94607,0.962962962962963
Q2,289,80060,0.944636678200692
Q3,340,146438,0.85
Q4,192,58834,0.953125
