"marginalSSPN","n","landing","coverage"
"BRG",6,0,1
"MNT",88,2281,0.863636363636364
"MRO",64,49568,0.890625
"OSF",52,0,1
"HKL",1,0,1
"NET",8,0,1
"TWL",201,51849,0.90547263681592
"1978",57,0,0.807017543859649
"1980",61,6144,0.983606557377049
"1981",42,24367,0.952380952380952
"1982",50,21338,0.9
"Q1",43,19057,0.953488372093023
"Q2",73,2281,0.986301369863014
"Q3",54,0,0.759259259259259
"Q4",40,30511,0.925
