"marginalURCK","n","landing","coverage"
"BDG",9,0,0.222222222222222
"BRG",326,0,0.94478527607362
"CRS",50,44,0.94
"ERK",323,0,0.969040247678019
"MNT",108,0,0.907407407407407
"MRO",138,0,0.804347826086957
"OSF",29,0,0.931034482758621
"HKL",110,0,0.745454545454545
"NET",6,0,1
"TWL",867,44,0.943483275663206
"1978",124,0,0.991935483870968
"1979",102,0,0.823529411764706
"1980",271,44,0.996309963099631
"1981",237,0,0.886075949367089
"1982",249,0,0.879518072289157
"Q1",162,0,0.858024691358025
"Q2",289,0,0.948096885813149
"Q3",340,44,0.935294117647059
"Q4",192,0,0.911458333333333
