margVRML,n,landing,coverage
BRG,6,0,0.5
MNT,88,0,0.215909090909091
MRO,64,56066,0.96875
OSF,52,21191,0.634615384615385
HKL,1,9249,0
NET,8,0,0.125
TWL,201,68008,0.577114427860697
1978,57,0,0.087719298245614
1980,61,77257,0.754098360655738
1981,42,0,0.928571428571429
1982,50,0,0.54
Q1,43,18759,0.465116279069767
Q2,73,46817,0.479452054794521
Q3,54,11681,0.555555555555556
Q4,40,0,0.8
