"marginalCBZN","n","landing","coverage"
"BDG",9,0,0.555555555555556
"BRG",326,0,0.266871165644172
"CRS",50,0,0.04
"ERK",323,0,0.303405572755418
"MNT",108,0,0.185185185185185
"MRO",138,125,0.27536231884058
"OSF",29,0,0.206896551724138
"HKL",110,125,0.263636363636364
"NET",6,0,0.166666666666667
"TWL",867,0,0.260668973471742
"1978",124,0,0.282258064516129
"1979",102,125,0.392156862745098
"1980",271,0,0.265682656826568
"1981",237,0,0.177215189873418
"1982",249,0,0.269076305220884
"Q1",162,0,0.253086419753086
"Q2",289,125,0.245674740484429
"Q3",340,0,0.235294117647059
"Q4",192,0,0.333333333333333
