"marginalVRML","n","landing","coverage"
"BRG",6,0,0
"MNT",88,0,0.420454545454545
"MRO",64,56066,0.953125
"OSF",52,21191,0.442307692307692
"HKL",1,9249,0
"NET",8,0,1
"TWL",201,68008,0.562189054726368
"1978",57,0,0.526315789473684
"1980",61,77257,0.590163934426229
"1981",42,0,0.857142857142857
"1982",50,0,0.38
"Q1",43,18759,0.813953488372093
"Q2",73,46817,0.342465753424658
"Q3",54,11681,0.648148148148148
"Q4",40,0,0.65
