margRDBD,n,landing,coverage
BDG,12,0,1
BRG,401,60027,0.99002493765586
CRS,60,143513,0.9
ERK,459,346696,0.941176470588235
MNT,163,471,1
MRO,164,9032,1
OSF,36,0,1
HKL,124,8589,1
NET,14,0,1
TWL,1157,551150,0.968020743301642
1978,124,19636,0.967741935483871
1979,102,15938,1
1980,271,48975,0.974169741697417
1981,237,264477,0.970464135021097
1982,249,16910,0.983935742971888
1983,312,193803,0.951923076923077
Q1,228,134979,0.986842105263158
Q2,390,148458,0.971794871794872
Q3,437,242437,0.963386727688787
Q4,240,33865,0.970833333333333
