margSLGR,n,landing,coverage
BDG,9,0,0.333333333333333
BRG,326,0,0.245398773006135
CRS,50,0,0.04
ERK,323,1894,0.229102167182663
MNT,108,0,0.324074074074074
MRO,138,0,0.376811594202899
OSF,29,0,0.379310344827586
HKL,110,0,0.4
NET,6,0,0.666666666666667
TWL,867,1894,0.241061130334487
1978,124,0,0.798387096774194
1979,102,1894,0.137254901960784
1980,271,0,0.191881918819188
1981,237,0,0.0548523206751055
1982,249,0,0.317269076305221
Q1,162,1894,0.333333333333333
Q2,289,0,0.166089965397924
Q3,340,0,0.317647058823529
Q4,192,0,0.244791666666667
