species,year,n,landing,coverage
ARRA,1978,57,3478898,1
ARRA,1980,61,8149536,0.967213114754098
ARRA,1981,42,4796164,1
ARRA,1982,50,3841230,0.96
BANK,1978,57,3478898,0.912280701754386
BANK,1980,61,8149536,1
BANK,1981,42,4796164,0.880952380952381
BANK,1982,50,3841230,0.84
BCAC,1978,57,3478898,0.982456140350877
BCAC,1980,61,8149536,0.852459016393443
BCAC,1981,42,4796164,0.714285714285714
BCAC,1982,50,3841230,0.9
BLGL,1978,57,3478898,0.964912280701754
BLGL,1980,61,8149536,0.983606557377049
BLGL,1981,42,4796164,0.976190476190476
BLGL,1982,50,3841230,0.9
BLUR,1978,57,3478898,0.719298245614035
BLUR,1980,61,8149536,1
BLUR,1981,42,4796164,0.976190476190476
BLUR,1982,50,3841230,1
BRWN,1978,57,3478898,1
BRWN,1980,61,8149536,1
BRWN,1981,42,4796164,0.976190476190476
BRWN,1982,50,3841230,0.98
CLPR,1978,57,3478898,0.982456140350877
CLPR,1980,61,8149536,0.918032786885246
CLPR,1981,42,4796164,0.928571428571429
CLPR,1982,50,3841230,0.96
CNRY,1978,57,3478898,0.982456140350877
CNRY,1980,61,8149536,0.918032786885246
CNRY,1981,42,4796164,0.952380952380952
CNRY,1982,50,3841230,0.98
CWCD,1978,57,3478898,0.964912280701754
CWCD,1980,61,8149536,0.983606557377049
CWCD,1981,42,4796164,0.976190476190476
CWCD,1982,50,3841230,0.98
DBRK,1978,57,3478898,0.982456140350877
DBRK,1980,61,8149536,0.950819672131147
DBRK,1981,42,4796164,0.976190476190476
DBRK,1982,50,3841230,1
EGLS,1978,57,3478898,0.982456140350877
EGLS,1980,61,8149536,1
EGLS,1981,42,4796164,1
EGLS,1982,50,3841230,0.98
FLAG,1978,57,3478898,1
FLAG,1980,61,8149536,0.934426229508197
FLAG,1981,42,4796164,0.976190476190476
FLAG,1982,50,3841230,0.96
GBLC,1978,57,3478898,1
GBLC,1980,61,8149536,0.983606557377049
GBLC,1981,42,4796164,0.976190476190476
GBLC,1982,50,3841230,0.98
GSPT,1978,57,3478898,0.982456140350877
GSPT,1980,61,8149536,0.918032786885246
GSPT,1981,42,4796164,0.928571428571429
GSPT,1982,50,3841230,1
GSRK,1978,57,3478898,1
GSRK,1980,61,8149536,0.967213114754098
GSRK,1981,42,4796164,1
GSRK,1982,50,3841230,1
KLPG,1978,57,3478898,0.982456140350877
KLPG,1980,61,8149536,1
KLPG,1981,42,4796164,1
KLPG,1982,50,3841230,0.66
LCOD,1978,57,3478898,0.947368421052632
LCOD,1980,61,8149536,0.950819672131147
LCOD,1981,42,4796164,1
LCOD,1982,50,3841230,1
OLVE,1978,57,3478898,0.929824561403509
OLVE,1980,61,8149536,1
OLVE,1981,42,4796164,1
OLVE,1982,50,3841230,0.98
PNKR,1978,57,3478898,0.736842105263158
PNKR,1980,61,8149536,0.950819672131147
PNKR,1981,42,4796164,0.666666666666667
PNKR,1982,50,3841230,0.96
RDBD,1978,57,3478898,0.982456140350877
RDBD,1980,61,8149536,1
RDBD,1981,42,4796164,0.976190476190476
RDBD,1982,50,3841230,1
REX,1978,57,3478898,0.982456140350877
REX,1980,61,8149536,1
REX,1981,42,4796164,0.976190476190476
REX,1982,50,3841230,1
SABL,1978,57,3478898,0.947368421052632
SABL,1980,61,8149536,1
SABL,1981,42,4796164,1
SABL,1982,50,3841230,1
SBLY,1978,57,3478898,0.929824561403509
SBLY,1980,61,8149536,0.983606557377049
SBLY,1981,42,4796164,0.976190476190476
SBLY,1982,50,3841230,0.98
SNOS,1978,57,3478898,0.964912280701754
SNOS,1980,61,8149536,0.967213114754098
SNOS,1981,42,4796164,1
SNOS,1982,50,3841230,1
SPKL,1978,57,3478898,0.947368421052632
SPKL,1980,61,8149536,1
SPKL,1981,42,4796164,0.952380952380952
SPKL,1982,50,3841230,1
SSPN,1978,57,3478898,1
SSPN,1980,61,8149536,0.983606557377049
SSPN,1981,42,4796164,0.952380952380952
SSPN,1982,50,3841230,0.94
STRK,1978,57,3478898,0.982456140350877
STRK,1980,61,8149536,0.934426229508197
STRK,1981,42,4796164,0.976190476190476
STRK,1982,50,3841230,0.98
TIGR,1978,57,3478898,1
TIGR,1980,61,8149536,1
TIGR,1981,42,4796164,0.928571428571429
TIGR,1982,50,3841230,1
VRML,1978,57,3478898,1
VRML,1980,61,8149536,0.934426229508197
VRML,1981,42,4796164,1
VRML,1982,50,3841230,1
WDOW,1978,57,3478898,0.929824561403509
WDOW,1980,61,8149536,0.950819672131147
WDOW,1981,42,4796164,0.880952380952381
WDOW,1982,50,3841230,1
YTRK,1978,57,3478898,0.929824561403509
YTRK,1980,61,8149536,1
YTRK,1981,42,4796164,0.928571428571429
YTRK,1982,50,3841230,0.96
