species,mad
CLPR,0.000154414749937848
BCAC,0.000173855334917446
WDOW,0.000182106778650199
GSPT,0.000203381229798269
BANK,0.000205934377524627
CNRY,0.000206603864425376
GSRK,0.000215849915210601
SNOS,0.000218161413739907
BLGL,0.00022496485064471
SBLY,0.000225752808881429
YTRK,0.000231368751509295
STRK,0.000234131969936141
BLUR,0.000234436214100676
OLVE,0.000249265720212429
CWCD,0.000262358140807853
SPKL,0.000272784440607605
VRML,0.000293764365010975
ARRA,0.000314403960644035
KLPG,0.00036615305473502
FLAG,0.000367584426187681
RDBD,0.000388162737379877
PNKR,0.000389636358854178
BRWN,0.000419048247460941
TIGR,0.00042156732116321
GBLC,0.000434272601230121
DBRK,0.000443769654750913
