"marginalTIGR","n","landing","coverage"
"BRG",6,0,0.666666666666667
"MNT",88,0,0.534090909090909
"MRO",64,0,0.359375
"OSF",52,4022,0.480769230769231
"HKL",1,0,1
"NET",8,0,0.75
"TWL",201,4022,0.45771144278607
"1978",57,0,0.403508771929825
"1980",61,0,0.557377049180328
"1981",42,4022,0.19047619047619
"1982",50,0,0.68
"Q1",43,0,0.372093023255814
"Q2",73,0,0.726027397260274
"Q3",54,0,0.314814814814815
"Q4",40,4022,0.325
