margVRML,n,landing,coverage
BRG,6,0,1
MNT,88,0,0.306818181818182
MRO,64,56066,0.96875
OSF,52,21191,0.961538461538462
HKL,1,9249,0
NET,8,0,0.75
TWL,201,68008,0.691542288557214
1978,57,0,0.403508771929825
1980,61,77257,0.737704918032787
1981,42,0,0.880952380952381
1982,50,0,0.8
Q1,43,18759,0.558139534883721
Q2,73,46817,0.808219178082192
Q3,54,11681,0.574074074074074
Q4,40,0,0.775
