margPOP,n,landing,coverage
BDG,56,3519,1
BRG,457,43838,0.99781181619256
CRS,82,44672,0.939024390243902
ERK,594,519818,0.944444444444444
MNT,344,0,1
MRO,266,0,1
OSF,104,0,1
HKL,138,0,1
NET,47,0,1
TWL,1718,611847,0.977299185098952
1978,124,1334,0.991935483870968
1979,102,61613,0.990196078431373
1980,271,13486,0.988929889298893
1981,237,1233,1
1982,249,261096,0.955823293172691
1983,312,96145,0.955128205128205
1984,277,55478,0.985559566787004
1985,331,121462,0.984894259818731
Q1,339,74979,0.988200589970501
Q2,531,72212,0.983050847457627
Q3,645,434375,0.964341085271318
Q4,388,30281,0.992268041237113
