"marginalARRA","n","landing","coverage"
"BDG",9,0,1
"BRG",326,2320,0.99079754601227
"CRS",50,13055,0.96
"ERK",323,17964,0.981424148606811
"MNT",108,935,0.990740740740741
"MRO",138,0,1
"OSF",29,0,1
"HKL",110,0,1
"NET",6,0,1
"TWL",867,34274,0.986159169550173
"1978",124,224,1
"1979",102,363,1
"1980",271,5005,0.992619926199262
"1981",237,11213,0.987341772151899
"1982",249,17469,0.971887550200803
"Q1",162,986,0.993827160493827
"Q2",289,3980,0.996539792387543
"Q3",340,5255,0.991176470588235
"Q4",192,24053,0.963541666666667
