"marginalFLAG","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,1
"CRS",50,1522,0.92
"ERK",323,293,0.86687306501548
"MNT",108,0,0.796296296296296
"MRO",138,2013,0.77536231884058
"OSF",29,0,0.862068965517241
"HKL",110,1682,0.854545454545454
"NET",6,0,1
"TWL",867,2146,0.898500576701269
"1978",124,0,0.983870967741935
"1979",102,0,1
"1980",271,331,0.904059040590406
"1981",237,1742,0.928270042194093
"1982",249,1755,0.763052208835341
"Q1",162,526,0.932098765432099
"Q2",289,1522,0.910034602076125
"Q3",340,599,0.844117647058824
"Q4",192,1181,0.927083333333333
