margSABL,n,landing,coverage
BRG,6,0,0
MNT,88,4753,0.420454545454545
MRO,64,0,0.546875
OSF,52,0,0.423076923076923
HKL,1,0,1
NET,8,0,0
TWL,201,4753,0.462686567164179
1978,57,4753,0.105263157894737
1980,61,0,0.688524590163934
1981,42,0,0.238095238095238
1982,50,0,0.72
Q1,43,4753,0.441860465116279
Q2,73,0,0.712328767123288
Q3,54,0,0.351851851851852
Q4,40,0,0.1
