"marginalPNKR","n","landing","coverage"
"BRG",6,0,0.5
"MNT",88,745,0.397727272727273
"MRO",64,0,0.1875
"OSF",52,0,0.596153846153846
"HKL",1,0,1
"NET",8,0,1
"TWL",201,745,0.358208955223881
"1978",57,745,0.403508771929825
"1980",61,0,0.409836065573771
"1981",42,0,0.357142857142857
"1982",50,0,0.36
"Q1",43,745,0.581395348837209
"Q2",73,0,0.520547945205479
"Q3",54,0,0.203703703703704
"Q4",40,0,0.175
