"marginalREDS","n","landing","coverage"
"BDG",9,0,1
"BRG",326,4464,0.570552147239264
"CRS",50,0,0.66
"ERK",323,4155,0.755417956656347
"MNT",108,0,0.685185185185185
"MRO",138,0,0.920289855072464
"OSF",29,0,0.758620689655172
"HKL",110,0,0.954545454545455
"NET",6,0,0.5
"TWL",867,8619,0.677047289504037
"1978",124,0,0.604838709677419
"1979",102,0,0.833333333333333
"1980",271,3996,0.81549815498155
"1981",237,468,0.805907172995781
"1982",249,4155,0.493975903614458
"Q1",162,468,0.839506172839506
"Q2",289,7030,0.705882352941177
"Q3",340,0,0.697058823529412
"Q4",192,1121,0.614583333333333
