margLSPN,n,landing,coverage
BDG,56,0,1
BRG,457,432,0.894967177242888
CRS,82,0,1
ERK,594,0,0.934343434343434
MNT,344,0,0.924418604651163
MRO,266,0,0.93609022556391
OSF,104,0,0.759615384615385
HKL,138,0,0.985507246376812
NET,47,0,0.893617021276596
TWL,1718,432,0.913853317811409
1978,124,163,0.75
1979,102,0,1
1980,271,269,0.915129151291513
1981,237,0,0.919831223628692
1982,249,0,0.839357429718876
1983,312,0,0.958333333333333
1984,277,0,0.96028880866426
1985,331,0,0.945619335347432
Q1,339,0,0.873156342182891
Q2,531,0,0.922787193973635
Q3,645,269,0.914728682170543
Q4,388,163,0.958762886597938
