margLSPN,n,landing,coverage
BDG,56,0,0.303571428571429
BRG,457,432,0.25164113785558
CRS,82,0,0.304878048780488
ERK,594,0,0.227272727272727
MNT,344,0,0.284883720930233
MRO,266,0,0.229323308270677
OSF,104,0,0.0673076923076923
HKL,138,0,0.166666666666667
NET,47,0,0.25531914893617
TWL,1718,432,0.246216530849825
1978,124,163,0.306451612903226
1979,102,0,0.0196078431372549
1980,271,269,0.151291512915129
1981,237,0,0.438818565400844
1982,249,0,0.136546184738956
1983,312,0,0.227564102564103
1984,277,0,0.472924187725632
1985,331,0,0.11178247734139
Q1,339,0,0.315634218289086
Q2,531,0,0.23728813559322
Q3,645,269,0.144186046511628
Q4,388,163,0.34020618556701
