margREX,n,landing,coverage
BRG,6,0,0.666666666666667
MNT,88,311,0.363636363636364
MRO,64,0,0.1875
OSF,52,0,0.230769230769231
HKL,1,0,0
NET,8,0,0.125
TWL,201,311,0.293532338308458
1978,57,311,0.491228070175439
1980,61,0,0.311475409836066
1981,42,0,0.0952380952380952
1982,50,0,0.18
Q1,43,311,0.0232558139534884
Q2,73,0,0.178082191780822
Q3,54,0,0.685185185185185
Q4,40,0,0.225
