margBRWN,n,landing,coverage
BRG,6,0,0.833333333333333
MNT,88,0,1
MRO,64,3617,0.984375
OSF,52,0,1
HKL,1,0,1
NET,8,0,1
TWL,201,3617,0.990049751243781
1978,57,0,1
1980,61,0,0.983606557377049
1981,42,0,1
1982,50,3617,0.98
Q1,43,3617,0.976744186046512
Q2,73,0,1
Q3,54,0,0.981481481481482
Q4,40,0,1
