margBRWN,n,landing,coverage
BDG,31,0,0.838709677419355
BRG,420,4315,0.704761904761905
CRS,73,0,0.808219178082192
ERK,533,1434,0.703564727954972
MNT,249,0,0.767068273092369
MRO,201,144491,0.776119402985075
OSF,65,61536,0.738461538461539
HKL,128,35728,0.828125
NET,24,25808,0.5
TWL,1420,150240,0.727464788732394
1978,124,0,0.459677419354839
1979,102,0,0.588235294117647
1980,271,181604,0.767527675276753
1981,237,2930,0.911392405063291
1982,249,1394,0.791164658634538
1983,312,40,0.621794871794872
1984,277,25808,0.790613718411552
Q1,277,0,0.819494584837545
Q2,441,35768,0.727891156462585
Q3,534,30123,0.661048689138577
Q4,320,145885,0.78125
