margBRWN,n,landing,coverage
BDG,31,0,1
BRG,420,4315,0.995238095238095
CRS,73,0,1
ERK,533,1434,0.99624765478424
MNT,249,0,1
MRO,201,144491,0.995024875621891
OSF,65,61536,0.953846153846154
HKL,128,35728,0.9921875
NET,24,25808,0.958333333333333
TWL,1420,150240,0.995774647887324
1978,124,0,0.991935483870968
1979,102,0,1
1980,271,181604,0.988929889298893
1981,237,2930,0.9957805907173
1982,249,1394,0.995983935742972
1983,312,40,0.996794871794872
1984,277,25808,0.996389891696751
Q1,277,0,0.996389891696751
Q2,441,35768,0.99546485260771
Q3,534,30123,0.99438202247191
Q4,320,145885,0.99375
