margGBLC,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.993865030674847
CRS,50,0,1
ERK,323,0,0.938080495356037
MNT,108,0,0.935185185185185
MRO,138,37006,0.949275362318841
OSF,29,0,0.862068965517241
HKL,110,37006,0.963636363636364
NET,6,0,1
TWL,867,0,0.957324106113033
1978,124,0,1
1979,102,372,0.970588235294118
1980,271,1328,0.996309963099631
1981,237,0,0.915611814345992
1982,249,35306,0.931726907630522
Q1,162,5688,0.839506172839506
Q2,289,58,0.97923875432526
Q3,340,30556,0.973529411764706
Q4,192,704,1
