margGBLC,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.331288343558282
CRS,50,0,0.32
ERK,323,0,0.377708978328173
MNT,108,0,0.314814814814815
MRO,138,37006,0.77536231884058
OSF,29,0,0.241379310344828
HKL,110,37006,0.945454545454545
NET,6,0,1
TWL,867,0,0.327566320645905
1978,124,0,0.346774193548387
1979,102,372,0.53921568627451
1980,271,1328,0.435424354243542
1981,237,0,0.510548523206751
1982,249,35306,0.228915662650602
Q1,162,5688,0.438271604938272
Q2,289,58,0.532871972318339
Q3,340,30556,0.391176470588235
Q4,192,704,0.1875
