"marginalLSPN","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,432,0.542944785276074
"CRS",50,0,0.46
"ERK",323,0,0.136222910216718
"MNT",108,0,0.37037037037037
"MRO",138,0,0.231884057971014
"OSF",29,0,0.413793103448276
"HKL",110,0,0.272727272727273
"NET",6,0,0.166666666666667
"TWL",867,432,0.34717416378316
"1978",124,163,0.137096774193548
"1979",102,0,0.568627450980392
"1980",271,269,0.472324723247232
"1981",237,0,0.286919831223629
"1982",249,0,0.244979919678715
"Q1",162,0,0.333333333333333
"Q2",289,0,0.342560553633218
"Q3",340,269,0.391176470588235
"Q4",192,163,0.239583333333333
