margREX,n,landing,coverage
BRG,6,0,1
MNT,88,311,0.977272727272727
MRO,64,0,1
OSF,52,0,1
HKL,1,0,1
NET,8,0,1
TWL,201,311,0.990049751243781
1978,57,311,0.982456140350877
1980,61,0,1
1981,42,0,0.976190476190476
1982,50,0,1
Q1,43,311,0.976744186046512
Q2,73,0,1
Q3,54,0,0.981481481481482
Q4,40,0,1
