"marginalQLBK","n","landing","coverage"
"BDG",9,0,0.666666666666667
"BRG",326,232,0.822085889570552
"CRS",50,0,1
"ERK",323,0,0.931888544891641
"MNT",108,0,0.907407407407407
"MRO",138,0,0.876811594202899
"OSF",29,0,0.862068965517241
"HKL",110,0,0.863636363636364
"NET",6,0,1
"TWL",867,232,0.885813148788927
"1978",124,232,0.991935483870968
"1979",102,0,1
"1980",271,0,0.870848708487085
"1981",237,0,0.772151898734177
"1982",249,0,0.903614457831325
"Q1",162,232,0.709876543209877
"Q2",289,0,0.865051903114187
"Q3",340,0,0.955882352941177
"Q4",192,0,0.932291666666667
