margFLAG,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.757668711656442
CRS,50,1522,0.96
ERK,323,293,0.761609907120743
MNT,108,0,0.592592592592593
MRO,138,2013,0.666666666666667
OSF,29,0,0.793103448275862
HKL,110,1682,0.909090909090909
NET,6,0,0.166666666666667
TWL,867,2146,0.724336793540946
1978,124,0,0.758064516129032
1979,102,0,0.813725490196078
1980,271,331,0.586715867158672
1981,237,1742,0.810126582278481
1982,249,1755,0.807228915662651
Q1,162,526,0.876543209876543
Q2,289,1522,0.809688581314879
Q3,340,599,0.785294117647059
Q4,192,1181,0.447916666666667
