species,year,n,landing,coverage
REYE,1980,271,18891334,0.3690036900369
REYE,1981,237,16465988,0.506329113924051
REYE,1982,249,11122887,0.417670682730924
ROSY,1978,124,5863246,0.225806451612903
ROSY,1979,102,8086821,0.392156862745098
ROSY,1980,271,18891334,0.553505535055351
ROSY,1981,237,16465988,0.518987341772152
ROSY,1982,249,11122887,0.389558232931727
RSTN,1978,124,5863246,0.766129032258065
RSTN,1979,102,8086821,0.686274509803922
RSTN,1980,271,18891334,0.608856088560886
RSTN,1981,237,16465988,0.624472573839662
RSTN,1982,249,11122887,0.730923694779116
SBLY,1978,124,5863246,0.459677419354839
SBLY,1979,102,8086821,0.882352941176471
SBLY,1980,271,18891334,0.605166051660517
SBLY,1981,237,16465988,0.531645569620253
SBLY,1982,249,11122887,0.44578313253012
SHRP,1978,124,5863246,0.451612903225806
SHRP,1979,102,8086821,0.715686274509804
SHRP,1980,271,18891334,0.439114391143911
SHRP,1981,237,16465988,0.459915611814346
SHRP,1982,249,11122887,0.570281124497992
SLGR,1978,124,5863246,0.508064516129032
SLGR,1979,102,8086821,0.53921568627451
SLGR,1980,271,18891334,0.542435424354244
SLGR,1981,237,16465988,0.282700421940928
SLGR,1982,249,11122887,0.301204819277108
SNOS,1978,124,5863246,0.943548387096774
SNOS,1979,102,8086821,0.980392156862745
SNOS,1980,271,18891334,0.922509225092251
SNOS,1981,237,16465988,0.856540084388186
SNOS,1982,249,11122887,0.883534136546185
SPKL,1978,124,5863246,0.959677419354839
SPKL,1979,102,8086821,0.950980392156863
SPKL,1980,271,18891334,0.988929889298893
SPKL,1981,237,16465988,0.978902953586498
SPKL,1982,249,11122887,0.959839357429719
SSPN,1978,124,5863246,0.766129032258065
SSPN,1979,102,8086821,1
SSPN,1980,271,18891334,0.988929889298893
SSPN,1981,237,16465988,0.776371308016878
SSPN,1982,249,11122887,0.971887550200803
STAR,1978,124,5863246,0.661290322580645
STAR,1979,102,8086821,0.892156862745098
STAR,1980,271,18891334,0.863468634686347
STAR,1981,237,16465988,0.767932489451477
STAR,1982,249,11122887,0.91566265060241
STRK,1978,124,5863246,0.806451612903226
STRK,1979,102,8086821,0.803921568627451
STRK,1980,271,18891334,0.896678966789668
STRK,1981,237,16465988,0.978902953586498
STRK,1982,249,11122887,0.951807228915663
SWSP,1978,124,5863246,0.225806451612903
SWSP,1979,102,8086821,0.352941176470588
SWSP,1980,271,18891334,0.339483394833948
SWSP,1981,237,16465988,0.434599156118143
SWSP,1982,249,11122887,0.261044176706827
TIGR,1978,124,5863246,0.524193548387097
TIGR,1979,102,8086821,0.382352941176471
TIGR,1980,271,18891334,0.428044280442804
TIGR,1981,237,16465988,0.485232067510549
TIGR,1982,249,11122887,0.224899598393574
URCK,1978,124,5863246,0.282258064516129
URCK,1979,102,8086821,0.186274509803922
URCK,1980,271,18891334,0.247232472324723
URCK,1981,237,16465988,0.080168776371308
URCK,1982,249,11122887,0.216867469879518
VRML,1978,124,5863246,0.983870967741935
VRML,1979,102,8086821,0.950980392156863
VRML,1980,271,18891334,0.940959409594096
VRML,1981,237,16465988,0.932489451476793
VRML,1982,249,11122887,0.927710843373494
WDOW,1978,124,5863246,0.766129032258065
WDOW,1979,102,8086821,0.735294117647059
WDOW,1980,271,18891334,0.697416974169742
WDOW,1981,237,16465988,0.687763713080169
WDOW,1982,249,11122887,0.783132530120482
YEYE,1978,124,5863246,0.983870967741935
YEYE,1979,102,8086821,0.950980392156863
YEYE,1980,271,18891334,0.952029520295203
YEYE,1981,237,16465988,0.949367088607595
YEYE,1982,249,11122887,0.959839357429719
YMTH,1978,124,5863246,0.25
YMTH,1979,102,8086821,0.57843137254902
YMTH,1980,271,18891334,0.306273062730627
YMTH,1981,237,16465988,0.194092827004219
YMTH,1982,249,11122887,0.313253012048193
YTRK,1978,124,5863246,0.766129032258065
YTRK,1979,102,8086821,0.823529411764706
YTRK,1980,271,18891334,0.848708487084871
YTRK,1981,237,16465988,0.835443037974684
YTRK,1982,249,11122887,0.767068273092369
