margGBLC,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,0,1
MRO,66,15254,0.954545454545455
OSF,63,0,1
HKL,1,0,1
NET,8,0,1
TWL,225,15254,0.986666666666667
1978,57,0,1
1980,61,4068,0.983606557377049
1981,42,8019,0.976190476190476
1982,50,3167,0.98
1983,18,0,1
1984,6,0,1
Q1,51,3167,0.980392156862745
Q2,79,0,1
Q3,59,0,1
Q4,45,12087,0.955555555555556
