"marginalBCAC","n","landing","coverage"
"BRG",6,172242,0.833333333333333
"MNT",88,4143365,0.75
"MRO",64,2733460,0.5625
"OSF",52,3117359,0.5
"HKL",1,0,1
"NET",8,145083,1
"TWL",201,10021343,0.616915422885572
"1978",57,1853861,0.771929824561403
"1980",61,4271945,0.524590163934426
"1981",42,2050399,0.5
"1982",50,1990221,0.72
"Q1",43,1875136,0.767441860465116
"Q2",73,3784254,0.643835616438356
"Q3",54,2761660,0.62962962962963
"Q4",40,1745376,0.475
