margLSPN,n,landing,coverage
BDG,12,0,0.833333333333333
BRG,401,432,0.840399002493766
CRS,60,0,0.883333333333333
ERK,459,0,0.908496732026144
MNT,163,0,0.809815950920245
MRO,164,0,0.878048780487805
OSF,36,0,1
HKL,124,0,0.838709677419355
NET,14,0,1
TWL,1157,432,0.87381158167675
1978,124,163,0.82258064516129
1979,102,0,0.990196078431373
1980,271,269,0.785977859778598
1981,237,0,1
1982,249,0,0.779116465863454
1983,312,0,0.903846153846154
Q1,228,0,0.899122807017544
Q2,390,0,0.958974358974359
Q3,437,269,0.768878718535469
Q4,240,163,0.891666666666667
