margEGLS,n,landing,coverage
BDG,9,0,0.555555555555556
BRG,326,0,0.429447852760736
CRS,50,0,0.12
ERK,323,0,0.260061919504644
MNT,108,1398,0.240740740740741
MRO,138,0,0.398550724637681
OSF,29,0,0.448275862068966
HKL,110,0,0.5
NET,6,0,0.166666666666667
TWL,867,1398,0.314878892733564
1978,124,0,0.346774193548387
1979,102,0,0.411764705882353
1980,271,1398,0.317343173431734
1981,237,0,0.320675105485232
1982,249,0,0.329317269076305
Q1,162,0,0.253086419753086
Q2,289,0,0.28719723183391
Q3,340,1398,0.394117647058824
Q4,192,0,0.369791666666667
