margPOP,n,landing,coverage
BDG,9,0,1
BRG,326,7614,0.0797546012269939
CRS,50,4556,0.44
ERK,323,326592,0.247678018575851
MNT,108,0,0.240740740740741
MRO,138,0,0.579710144927536
OSF,29,0,0.689655172413793
HKL,110,0,0.690909090909091
NET,6,0,1
TWL,867,338762,0.20876585928489
1978,124,1334,0.137096774193548
1979,102,61613,0.392156862745098
1980,271,13486,0.243542435424354
1981,237,1233,0.172995780590717
1982,249,261096,0.397590361445783
Q1,162,61776,0.364197530864198
Q2,289,10445,0.307958477508651
Q3,340,255876,0.229411764705882
Q4,192,10665,0.192708333333333
