"marginalTIGR","n","landing","coverage"
"BDG",9,2766,0
"BRG",326,0,0.358895705521472
"CRS",50,0,0.54
"ERK",323,0,0.0712074303405573
"MNT",108,0,0.361111111111111
"MRO",138,0,0.27536231884058
"OSF",29,0,0.137931034482759
"HKL",110,0,0.245454545454545
"NET",6,0,0.166666666666667
"TWL",867,2766,0.253748558246828
"1978",124,0,0.387096774193548
"1979",102,0,0.254901960784314
"1980",271,0,0.420664206642066
"1981",237,2766,0.143459915611814
"1982",249,0,0.104417670682731
"Q1",162,0,0.166666666666667
"Q2",289,0,0.169550173010381
"Q3",340,0,0.435294117647059
"Q4",192,2766,0.125
