"marginalTIGR","n","landing","coverage"
"BDG",9,2766,0.777777777777778
"BRG",326,0,1
"CRS",50,0,0.88
"ERK",323,0,0.993808049535604
"MNT",108,0,1
"MRO",138,0,0.898550724637681
"OSF",29,0,1
"HKL",110,0,0.863636363636364
"NET",6,0,1
"TWL",867,2766,0.98961937716263
"1978",124,0,1
"1979",102,0,0.980392156862745
"1980",271,0,1
"1981",237,2766,0.936708860759494
"1982",249,0,0.971887550200803
"Q1",162,0,0.987654320987654
"Q2",289,0,0.982698961937716
"Q3",340,0,0.997058823529412
"Q4",192,2766,0.916666666666667
