"marginalSABL","n","landing","coverage"
"BRG",6,0,0.333333333333333
"MNT",88,4753,0.477272727272727
"MRO",64,0,0.171875
"OSF",52,0,0.173076923076923
"HKL",1,0,1
"NET",8,0,0.125
"TWL",201,4753,0.308457711442786
"1978",57,4753,0.157894736842105
"1980",61,0,0.163934426229508
"1981",42,0,0.238095238095238
"1982",50,0,0.7
"Q1",43,4753,0.0930232558139535
"Q2",73,0,0.575342465753425
"Q3",54,0,0.222222222222222
"Q4",40,0,0.15
