"marginalRDBD","n","landing","coverage"
"BRG",6,0,0.833333333333333
"MNT",88,0,0.352272727272727
"MRO",64,2654,0.4375
"OSF",52,2783,0.519230769230769
"HKL",1,0,0
"NET",8,0,0.125
"TWL",201,5437,0.447761194029851
"1978",57,2783,0.473684210526316
"1980",61,0,0.491803278688525
"1981",42,2654,0.452380952380952
"1982",50,0,0.3
"Q1",43,0,0.441860465116279
"Q2",73,0,0.219178082191781
"Q3",54,2783,0.444444444444444
"Q4",40,2654,0.8
