margSLGR,n,landing,coverage
BDG,9,0,0.333333333333333
BRG,326,0,0.47239263803681
CRS,50,0,0.02
ERK,323,1894,0.102167182662539
MNT,108,0,0.138888888888889
MRO,138,0,0.210144927536232
OSF,29,0,0.310344827586207
HKL,110,0,0.2
NET,6,0,0
TWL,867,1894,0.256055363321799
1978,124,0,0.346774193548387
1979,102,1894,0.215686274509804
1980,271,0,0.136531365313653
1981,237,0,0.354430379746835
1982,249,0,0.232931726907631
Q1,162,1894,0.320987654320988
Q2,289,0,0.387543252595156
Q3,340,0,0.0941176470588235
Q4,192,0,0.25
