margSLGR,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.904907975460123
CRS,50,0,1
ERK,323,1894,0.990712074303406
MNT,108,0,0.888888888888889
MRO,138,0,0.956521739130435
OSF,29,0,0.931034482758621
HKL,110,0,0.972727272727273
NET,6,0,1
TWL,867,1894,0.941176470588235
1978,124,0,0.991935483870968
1979,102,1894,0.970588235294118
1980,271,0,0.922509225092251
1981,237,0,0.932489451476793
1982,249,0,0.947791164658635
Q1,162,1894,0.987654320987654
Q2,289,0,0.965397923875433
Q3,340,0,0.970588235294118
Q4,192,0,0.833333333333333
