margCLPR,n,landing,coverage
BDG,56,626327,0.964285714285714
BRG,457,6966083,0.925601750547046
CRS,82,26021,1
ERK,594,1893383,0.988215488215488
MNT,344,3595860,0.909883720930233
MRO,266,1408534,0.917293233082707
OSF,104,3182832,0.875
HKL,138,844051,0.942028985507246
NET,47,650358,0.978723404255319
TWL,1718,16204631,0.941792782305006
1978,124,1172492,0.983870967741935
1979,102,2327247,0.862745098039216
1980,271,2560887,0.944649446494465
1981,237,2252765,0.966244725738397
1982,249,1857605,0.975903614457831
1983,312,1939442,0.987179487179487
1984,277,2862140,0.927797833935018
1985,331,2726462,0.879154078549849
Q1,339,3355841,0.967551622418879
Q2,531,3387924,0.951035781544256
Q3,645,5671933,0.953488372093023
Q4,388,5283342,0.891752577319588
