margCBZN,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.892638036809816
CRS,50,0,0.98
ERK,323,0,0.842105263157895
MNT,108,0,0.814814814814815
MRO,138,125,0.72463768115942
OSF,29,0,0.862068965517241
HKL,110,125,0.881818181818182
NET,6,0,0
TWL,867,0,0.848904267589389
1978,124,0,0.967741935483871
1979,102,125,0.892156862745098
1980,271,0,0.848708487084871
1981,237,0,0.839662447257384
1982,249,0,0.775100401606426
Q1,162,0,0.944444444444444
Q2,289,125,0.86159169550173
Q3,340,0,0.891176470588235
Q4,192,0,0.666666666666667
