margBRWN,n,landing,coverage
BDG,9,0,1
BRG,326,4315,0.889570552147239
CRS,50,0,0.94
ERK,323,1394,0.990712074303406
MNT,108,0,1
MRO,138,144491,0.956521739130435
OSF,29,35728,0.793103448275862
HKL,110,35728,0.945454545454545
NET,6,0,1
TWL,867,150200,0.944636678200692
1978,124,0,0.854838709677419
1979,102,0,0.980392156862745
1980,271,181604,0.959409594095941
1981,237,2930,0.907172995780591
1982,249,1394,0.995983935742972
Q1,162,0,0.944444444444444
Q2,289,35728,0.878892733564014
Q3,340,4315,0.976470588235294
Q4,192,145885,0.989583333333333
