margDBRK,n,landing,coverage
BRG,6,0,0
MNT,88,12714,0.352272727272727
MRO,64,0,0.5
OSF,52,24474,0.211538461538462
HKL,1,0,1
NET,8,0,1
TWL,201,37188,0.323383084577114
1978,57,5723,0.421052631578947
1980,61,24474,0.508196721311475
1981,42,6991,0.285714285714286
1982,50,0,0.14
Q1,43,0,0.0930232558139535
Q2,73,0,0.315068493150685
Q3,54,5723,0.62962962962963
Q4,40,31465,0.325
