margSBLY,n,landing,coverage
BDG,9,6313,0.777777777777778
BRG,326,387,0.377300613496933
CRS,50,0,0.42
ERK,323,0,0.65015479876161
MNT,108,900,0.537037037037037
MRO,138,0,0.717391304347826
OSF,29,0,0.586206896551724
HKL,110,0,0.672727272727273
NET,6,0,0.666666666666667
TWL,867,7600,0.527104959630911
1978,124,387,0.330645161290323
1979,102,0,0.46078431372549
1980,271,0,0.527675276752767
1981,237,0,0.734177215189873
1982,249,7213,0.522088353413655
Q1,162,0,0.580246913580247
Q2,289,6588,0.529411764705882
Q3,340,112,0.379411764705882
Q4,192,900,0.828125
