margOLVE,n,landing,coverage
BDG,12,3868,0.916666666666667
BRG,401,0,1
CRS,60,0,0.95
ERK,459,0,1
MNT,163,16896,0.96319018404908
MRO,164,25875,0.957317073170732
OSF,36,0,1
HKL,124,33491,0.935483870967742
NET,14,8058,0.714285714285714
TWL,1157,5090,0.995678478824546
1978,124,0,0.975806451612903
1979,102,4165,0.970588235294118
1980,271,6674,0.992619926199262
1981,237,374,0.9957805907173
1982,249,14129,0.991967871485944
1983,312,21297,0.980769230769231
Q1,228,3868,0.995614035087719
Q2,390,13074,0.979487179487179
Q3,437,28581,0.986270022883295
Q4,240,1116,0.991666666666667
