margREX,n,landing,coverage
BDG,56,0,0.0178571428571429
BRG,457,0,0.137855579868709
CRS,82,0,0.268292682926829
ERK,594,0,0.292929292929293
MNT,344,0,0.0668604651162791
MRO,266,0,0.120300751879699
OSF,104,3731,0.221153846153846
HKL,138,0,0.13768115942029
NET,47,0,0.0212765957446809
TWL,1718,3731,0.185098952270081
1978,124,0,0.0887096774193548
1979,102,0,0.147058823529412
1980,271,0,0.206642066420664
1981,237,0,0.189873417721519
1982,249,3731,0.14859437751004
1983,312,0,0.330128205128205
1984,277,0,0.23826714801444
1985,331,0,0.0151057401812689
Q1,339,0,0.123893805309735
Q2,531,3731,0.369114877589454
Q3,645,0,0.075968992248062
Q4,388,0,0.131443298969072
