margBANK,n,landing,coverage
BDG,42,0,1
BRG,38,0,1
CRS,17,0,1
ERK,133,0,1
MNT,13,0,1
MRO,6,48,0.833333333333333
OSF,22,3827,0.954545454545455
TWL,271,3875,0.992619926199262
1981,37,0,1
1982,92,0,1
1983,73,3827,0.986301369863014
1984,69,48,0.985507246376812
Q1,73,0,1
Q2,59,48,0.983050847457627
Q3,78,0,1
Q4,61,3827,0.983606557377049
