"marginalTIGR","n","landing","coverage"
"BRG",6,0,0.5
"MNT",88,0,1
"MRO",64,0,0.9375
"OSF",52,4022,0.980769230769231
"HKL",1,0,1
"NET",8,0,1
"TWL",201,4022,0.960199004975124
"1978",57,0,1
"1980",61,0,0.950819672131147
"1981",42,4022,0.880952380952381
"1982",50,0,1
"Q1",43,0,1
"Q2",73,0,0.958904109589041
"Q3",54,0,0.925925925925926
"Q4",40,4022,0.975
