margBCAC,n,landing,coverage
BDG,31,1208220,0.548387096774194
BRG,420,6028412,0.657142857142857
CRS,73,811914,0.876712328767123
ERK,533,3828482,0.763602251407129
MNT,249,4361326,0.622489959839357
MRO,201,2151631,0.562189054726368
OSF,65,3448059,0.523076923076923
HKL,128,1347411,0.6015625
NET,24,820970,0.708333333333333
TWL,1420,19669663,0.684507042253521
1978,124,1320166,0.596774193548387
1979,102,1408999,0.696078431372549
1980,271,2700181,0.715867158671587
1981,237,5193394,0.687763713080169
1982,249,3670793,0.606425702811245
1983,312,4203619,0.657051282051282
1984,277,3340892,0.750902527075812
Q1,277,4470023,0.682310469314079
Q2,441,5909019,0.653061224489796
Q3,534,7071987,0.653558052434457
Q4,320,4387015,0.75
