margBCAC,n,landing,coverage
BDG,31,1208220,0.838709677419355
BRG,420,6028412,0.942857142857143
CRS,73,811914,0.972602739726027
ERK,533,3828482,0.958724202626642
MNT,249,4361326,0.919678714859438
MRO,201,2151631,0.885572139303483
OSF,65,3448059,0.861538461538462
HKL,128,1347411,0.9296875
NET,24,820970,1
TWL,1420,19669663,0.932394366197183
1978,124,1320166,0.943548387096774
1979,102,1408999,0.950980392156863
1980,271,2700181,0.948339483394834
1981,237,5193394,0.924050632911392
1982,249,3670793,0.907630522088353
1983,312,4203619,0.92948717948718
1984,277,3340892,0.942238267148014
Q1,277,4470023,0.924187725631769
Q2,441,5909019,0.91156462585034
Q3,534,7071987,0.938202247191011
Q4,320,4387015,0.9625
