margARRA,n,landing,coverage
BRG,6,0,0.5
MNT,88,0,0.579545454545455
MRO,64,5603,0.71875
OSF,52,1155,0.5
HKL,1,0,1
NET,8,0,1
TWL,201,6758,0.582089552238806
1978,57,0,0.719298245614035
1980,61,5257,0.786885245901639
1981,42,0,0.714285714285714
1982,50,1501,0.14
Q1,43,1501,0.372093023255814
Q2,73,1155,0.479452054794521
Q3,54,0,0.703703703703704
Q4,40,4102,0.925
