margGBLC,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.95398773006135
CRS,50,0,0.96
ERK,323,0,0.640866873065015
MNT,108,0,0.768518518518518
MRO,138,37006,0.63768115942029
OSF,29,0,0.96551724137931
HKL,110,37006,0.927272727272727
NET,6,0,0
TWL,867,0,0.775086505190311
1978,124,0,0.959677419354839
1979,102,372,0.813725490196078
1980,271,1328,0.752767527675277
1981,237,0,0.936708860759494
1982,249,35306,0.586345381526104
Q1,162,5688,0.876543209876543
Q2,289,58,0.826989619377163
Q3,340,30556,0.758823529411765
Q4,192,704,0.703125
